feature,n,scaled,estimate,std_error,statistic,p_value,odds_ratio,conf_low,conf_high,p_adj
q8point_G_peptide,46617,TRUE,-0.057648421920637585,0.009422524619299315,-6.11815031000943,9.466775218764969e-10,0.9439817724006825,0.9267081737293126,0.9615773464463052,3.719090264514809e-9
mean_disorder_nflank,46580,TRUE,-0.04734891532752573,0.009334347423940025,-5.072546925571768,3.9252629810953354e-7,0.9537545599430078,0.9364639649408087,0.9713644034018722,1.4392630930682895e-6
PC4,46617,TRUE,0.046186598638430575,0.009292399494599994,4.970363000995659,6.682766718404953e-7,1.0472698118465602,1.0283684278018967,1.0665186028216052,2.2972010594517027e-6
q8trans_C_pep_c,46617,TRUE,-0.04556986255466351,0.009310711681996448,-4.894347941498302,9.863220308587619e-7,0.9554528498632723,0.9381749275370974,0.9730489714837866,3.191041864543053e-6
q8point_S_peptide,46617,TRUE,-0.04395572946563981,0.009332166311259165,-4.710131388529549,2.4755714951755375e-6,0.9569963232738735,0.9396509753983812,0.9746618550269959,7.564246235258586e-6
q8trans_G_n_pep,46617,TRUE,-0.03722603683162081,0.009455426492332004,-3.937002404049117,8.250578074512855e-5,0.9634583336652391,0.945767347779361,0.9814802370673006,2.3883252320958267e-4
q8point_G_nflank,46617,TRUE,-0.03440867596256892,0.00935400546335838,-3.67849645773193,2.3461294891425485e-4,0.9661765708029364,0.9486242264794512,0.9840536852331198,6.451856095142009e-4
q8point_C_nflank,46617,TRUE,-0.032310098932183014,0.009279039590056815,-3.4820520613798975,4.975869417745146e-4,0.9682062957839187,0.9507567652236232,0.9859760829312951,0.0013032038951237286
q8point_H_cflank,46617,TRUE,0.03219022809061506,0.009291838251661091,3.4643551920267712,5.315042116048645e-4,1.0327139378215782,1.0140763773039763,1.0516940353214248,0.0013287605290121613
q8point_T_cflank,46617,TRUE,0.03125413402880887,0.009278696864723195,3.3683753747397858,7.561257236426433e-4,1.031747672764889,1.0131536461761197,1.0506829485078104,0.0017327881166810575
q8trans_H_pep_c,46617,TRUE,0.03133868096379186,0.009286832478355067,3.3745285097834272,7.394225640982642e-4,1.0318349075559623,1.0132231520474688,1.0507885398192534,0.0017327881166810575
mean_disorder_peptide,46617,TRUE,-0.029339657122778372,0.009316033809262611,-3.1493721173067195,0.001636217030750908,0.9710865719736036,0.9535159908561156,0.9889809288051508,0.0035996774676519978
q8trans_T_pep_c,46617,TRUE,0.02433774982144996,0.009264543515530629,2.626977765353613,0.00861469629166079,1.0246363301921093,1.006198375447067,1.0434121489046113,0.018223396001590134
q8point_I_nflank,46617,TRUE,-0.023704963261965986,0.01006549776069694,-2.3550711376170077,0.018519160021314297,0.9765737924044979,0.9574963797514359,0.9960313085036219,0.03772421485823283
q8trans_E_n_pep,46617,TRUE,-0.02165317430584674,0.009310914099349797,-2.325569119723576,0.020041548561846804,0.9785795727418939,0.9608830573283604,0.9966020036301492,0.03936732753219908
q8point_B_nflank,46617,TRUE,0.020141214225868613,0.009288734490823498,2.168348578136932,0.030132174968967692,1.0203454171418476,1.0019371685151441,1.0390918742192912,0.05714722838942148
mean_disorder_cflank,46494,TRUE,-0.019372971136188636,0.009316188284849961,-2.079495448550892,0.03757183570529134,0.9808134788974704,0.9630666101337502,0.9988873773262239,0.06888169879303412
rel_distance_from_n_terminus,46617,TRUE,-0.015083395818501514,0.009288616740913974,-1.623858130787443,0.1044060901851199,0.9850297888121077,0.9672588994865184,1.0031271724274782,0.18506626076851598
q8point_E_peptide,46617,TRUE,-0.014952944219178707,0.009294862360699081,-1.6087321833191808,0.10767491535622747,0.9851582959052345,0.9673732460978623,1.0032703218802095,0.18506626076851598
q8point_E_nflank,46617,TRUE,-0.014147436118669787,0.00929544883757035,-1.5219745023487916,0.12801546965808663,0.9859521685853821,0.968151674119091,1.0040799440053862,0.21335911609681107
q8point_S_nflank,46617,TRUE,-0.013928834103308026,0.0092972548887354,-1.4981663157567369,0.13409004485364204,0.9861677232759717,0.96835990929552,1.004303016983453,0.21691036667500918
q8point_I_peptide,46617,TRUE,-0.013914236749576384,0.009585824593074424,-1.4515430169282624,0.14662871293937213,0.9861821188201353,0.9678264906656583,1.0048858766116855,0.23041654890472762
PC3,46617,TRUE,-0.013291335840432959,0.009288650051166004,-1.4309222295186477,0.15245250530300716,0.9867966039203244,0.9689937762789693,1.0049265138193644,0.23291354976848316
q8trans_T_n_pep,46617,TRUE,-0.011947569479817288,0.009317828009680085,-1.2822268738385407,0.19976307159848916,0.988123519333922,0.9702412642521167,1.006335357436562,0.29694510643018657
q8trans_S_n_pep,46617,TRUE,0.010905800713078177,0.009263808676355904,1.1772480514319281,0.23909651472449803,1.0109654857313162,0.992774962693118,1.029489312026383,0.346060744995984
q8point_G_cflank,46617,TRUE,0.010722964128074464,0.009275155324941905,1.1560953700946919,0.24764214961745035,1.010780661151211,0.9925713892334843,1.029323992248328,0.34923892894768643
