feature,n,scaled,estimate,std_error,statistic,p_value,odds_ratio,conf_low,conf_high,p_adj
mean_rsa_cflank,46494,FALSE,0.4077707800221854,0.0614215539154372,6.638887394213248,3.160597273875441e-11,1.503462498029339,1.3329366748749591,1.6958041035165188,1.337175769716533e-10
q8point_G_peptide,46617,FALSE,-0.24787075152472662,0.04051400161246573,-6.118150310001948,9.466775219209347e-10,0.7804608101291703,0.7208831692623133,0.8449622658978129,3.719090264689386e-9
mean_disorder_nflank,46580,FALSE,-0.1572195386685679,0.03099420093602109,-5.072546925571784,3.925262981095007e-7,0.8545164388222682,0.8041510353737955,0.9080363166828125,1.4392630930681692e-6
PC4,46617,FALSE,0.03204422019417755,0.0064470583311034705,4.970363000995665,6.682766718404769e-7,1.0325631644392153,1.0195975451583164,1.0456936598363185,2.297201059451639e-6
q8trans_C_pep_c,46617,FALSE,-0.10415947559499404,0.02128158374517249,-4.894347941497613,9.863220308622184e-7,0.9010815854402563,0.8642688585252297,0.9394623161651536,3.191041864554236e-6
q8point_S_peptide,46617,FALSE,-0.1280747160340566,0.027191325563860246,-4.710131388529274,2.4755714951788714e-6,0.8797876424454262,0.8341269131672623,0.9279478740958336,7.564246235268773e-6
q8trans_G_n_pep,46617,FALSE,-0.26936594073282477,0.06841904400556065,-3.9370024040518965,8.250578074417325e-5,0.7638636756632161,0.6679998920924696,0.8734847443911689,2.388325232068173e-4
q8point_G_nflank,46617,FALSE,-0.14802486147617752,0.0402405882885519,-3.678496457724236,2.3461294892133125e-4,0.8624096738979556,0.7970033359861173,0.933183604197277,6.451856095336609e-4
q8point_C_nflank,46617,FALSE,-0.07326928360713196,0.02104198395528594,-3.4820520613849264,4.975869417651696e-4,0.9293505374624451,0.8918016182878499,0.9684804375438559,0.0013032038950992538
q8point_H_cflank,46617,FALSE,0.06476225297251494,0.01869388367613682,3.4643551920238735,5.315042116105903e-4,1.0669053406557625,1.0285214041885387,1.1067217476313491,0.0013287605290264758
q8point_T_cflank,46617,FALSE,0.07191265558876339,0.02134935913861036,3.368375374730064,7.561257236693079e-4,1.0745614830246824,1.0305245162253596,1.1204802628370405,0.001732788116742164
q8trans_H_pep_c,46617,FALSE,0.06312779146282772,0.01870714420690853,3.3745285097826256,7.394225641004178e-4,1.0651629492657066,1.026815010696063,1.10494304881588,0.001732788116742164
mean_disorder_peptide,46617,FALSE,-0.10587428145092966,0.03361758392065478,-3.1493721173067426,0.0016362170307507786,0.8995377295457485,0.8421772754925602,0.9608049877658665,0.0035996774676517133
q8trans_T_pep_c,46617,FALSE,0.1768723593862347,0.06732921828228196,2.6269777653542072,0.008614696291645746,1.1934787470447832,1.0459306795992,1.3618412266034798,0.01822339600155831
q8point_I_nflank,46617,FALSE,-0.6843429329218786,0.2905827013001886,-2.355071137613636,0.018519160021482326,0.5044215595101574,0.285393877227974,0.8915436875172011,0.03772421485857511
q8trans_E_n_pep,46617,FALSE,-0.06999314732514551,0.030097212218504206,-2.3255691197244075,0.020041548561802406,0.9324002093195246,0.8789883076404631,0.9890576959695988,0.03936732753211187
q8point_B_nflank,46617,FALSE,0.2965751551498895,0.1367746672006681,2.1683485781381657,0.030132174968873892,1.3452436581869482,1.0289067259793043,1.7588382447104376,0.05714722838924359
mean_disorder_cflank,46494,FALSE,-0.06476727579919836,0.03114566845738041,-2.079495448550915,0.03757183570528922,0.9372855670319301,0.8817799128976604,0.9962851515629004,0.06888169879303023
rel_distance_from_n_terminus,46617,FALSE,-0.05374319833500127,0.03309599361918324,-1.6238581307874804,0.10440609018511186,0.9476754398870932,0.8881529180284057,1.0111870615240968,0.18506626076900073
q8point_E_peptide,46617,FALSE,-0.03481555554788409,0.021641610647758394,-1.6087321833178916,0.10767491535650953,0.9657835332453684,0.9256740423395116,1.0076309698936174,0.18506626076900073
