feature,lr_coef_mean,lr_coef_std,lr_coef_abs_mean,rf_imp_mean,rf_imp_std,feature_type
N3_G,0.030094470953850715,0.06393815529224049,0.030094470953850715,0.002355281390442338,7.14107914173008e-05,sparse_encoding
N3_H,0.10575175896535108,0.04548511847126779,0.10575175896535108,0.0013015064098556347,2.5157245233238244e-05,sparse_encoding
N3_I,0.07876576816520292,0.06329980275025889,0.07876576816520292,0.0019875171418702923,1.7542246236008433e-05,sparse_encoding
N3_K,0.14344219846422707,0.06977455756832932,0.14344219846422707,0.002124674740014506,3.69214013368804e-05,sparse_encoding
N3_L,0.1651229130993082,0.09197000758340866,0.1651229130993082,0.0030809852837133563,2.221186965172238e-05,sparse_encoding
N3_M,0.07218590285656612,0.052701736758096134,0.07218590285656612,0.0013244436773845046,2.0264680215193993e-05,sparse_encoding
N3_N,0.1258846586713489,0.05671463413904511,0.1258846586713489,0.0017082787727970398,3.706532678617438e-05,sparse_encoding
N3_P,0.0025867511858654185,0.06313080490763623,0.0025867511858654185,0.0027316161224622583,0.00020277774783763653,sparse_encoding
N3_Q,0.14098976083449263,0.06113214266600807,0.14098976083449263,0.002017870755329795,4.3271496417650435e-05,sparse_encoding
N3_R,0.1469456767354472,0.06962800603575219,0.1469456767354472,0.002173094086481709,3.646215255701484e-05,sparse_encoding
N3_S,0.1281569720198112,0.07220604987450092,0.1281569720198112,0.0024189820537421987,3.385292174214982e-05,sparse_encoding
N3_T,0.13953038629720002,0.06752761709926854,0.13953038629720002,0.0021761760839174834,3.5926270811204104e-05,sparse_encoding
N3_V,0.13103824608066766,0.07569639873706797,0.13103824608066766,0.002336426634940198,1.9991777900786276e-05,sparse_encoding
N3_W,0.0257646247115448,0.02991741481233886,0.0257646247115448,0.0005777086069266677,1.9059159039714007e-05,sparse_encoding
N3_Y,0.090636425602962,0.048231572269070835,0.090636425602962,0.0013980901927970937,3.3207377041916164e-05,sparse_encoding
N2_A,-0.13184010643493393,0.049869330610945437,0.13184010643493393,0.002531836902667988,3.509714196763695e-05,sparse_encoding
N2_C,-0.0750939330408462,0.02182748316994658,0.0750939330408462,0.0011092062774322145,3.3348171969203004e-05,sparse_encoding
N2_D,-0.10434407606457967,0.03395744063074441,0.10434407606457967,0.0019354171313378469,5.813116024095649e-05,sparse_encoding
N2_E,-0.12482811934062947,0.03659352651653903,0.12482811934062947,0.0023895429882304976,6.77442597915222e-05,sparse_encoding
N2_F,-0.15404130652947848,0.0359257376273197,0.15404130652947848,0.0016013378246926093,3.840254409558942e-05,sparse_encoding
N2_G,-0.14823307478526754,0.03763901905031362,0.14823307478526754,0.0020770676158719534,3.4393177531330566e-05,sparse_encoding
N2_H,-0.08101686535019378,0.02739840701963436,0.08101686535019378,0.001285876970575035,3.448150656513656e-05,sparse_encoding
N2_I,-0.2309124649909254,0.03962370380464928,0.2309124649909254,0.00224983140696602,5.3613881913370365e-05,sparse_encoding
N2_K,-0.14569940308759186,0.03968239615281032,0.14569940308759186,0.002258411051201458,2.1041989566591363e-05,sparse_encoding
N2_L,-0.24064229296111656,0.05160643412990797,0.24064229296111656,0.0029876344538584815,3.707814395057785e-05,sparse_encoding
N2_M,-0.07274810482916785,0.02199630872491932,0.07274810482916785,0.0013599953382942857,2.7146103900706544e-05,sparse_encoding
N2_N,-0.07747852360054057,0.03240042720917521,0.07747852360054057,0.001888711352766954,4.582794589113963e-05,sparse_encoding
N2_P,-0.29437890798033906,0.034505040920627277,0.29437890798033906,0.0040323000420969535,0.00018432827740893373,sparse_encoding
N2_Q,-0.10890498251709577,0.034270938106254305,0.10890498251709577,0.002163481837274043,1.6364494019901743e-05,sparse_encoding
N2_R,-0.1388623375637464,0.0376274183083044,0.1388623375637464,0.0022073143782357038,1.6172492352620764e-05,sparse_encoding
N2_S,-0.12021962106925696,0.04052956587730171,0.12021962106925696,0.002536938433378383,3.3403568321372797e-05,sparse_encoding
N2_T,-0.12763486901711724,0.034852255457563854,0.12763486901711724,0.0019997140307653526,4.846915262822714e-05,sparse_encoding
N2_V,-0.19962239320520175,0.04405044429900798,0.19962239320520175,0.0023508047929808535,2.9807400385740663e-05,sparse_encoding
N2_W,-0.10000532828658577,0.013715457136800542,0.10000532828658577,0.000608525668722542,2.123129221165822e-05,sparse_encoding
N2_Y,-0.11191389987054587,0.025616853737067912,0.11191389987054587,0.0012957277088500095,3.746362703924431e-05,sparse_encoding
N1_A,0.014691487406919246,0.06409974017773379,0.014691487406919246,0.0029786406716768702,3.722178868556799e-05,sparse_encoding
N1_C,0.010453038677824367,0.03163304835317112,0.010453038677824367,0.001118382943768085,2.6481377404950298e-05,sparse_encoding
N1_D,-0.005244160602436246,0.05429760222942939,0.005244160602436246,0.002227287401390222,2.7501828984300415e-05,sparse_encoding
N1_E,-0.06098930648063441,0.061375881552600806,0.06098930648063441,0.0026705293700383954,2.6508985773870302e-05,sparse_encoding
N1_F,-0.05494441296316689,0.04040471969117234,0.05494441296316689,0.0014167921492123814,1.5020740828886321e-05,sparse_encoding
N1_G,-0.005984965858166437,0.053838497594715165,0.005984965858166437,0.002301746915352604,3.190885388625103e-05,sparse_encoding
N1_H,-0.04374391045856506,0.03688133006234241,0.04374391045856506,0.001238841965507157,2.4457063469396486e-05,sparse_encoding
N1_I,-0.11547891564255988,0.04686998769705542,0.11547891564255988,0.001819322458192906,2.3675707706253903e-05,sparse_encoding
N1_K,-0.07816118468087767,0.056145797931555774,0.07816118468087767,0.0022677420604079743,2.5399992637334287e-05,sparse_encoding
N1_L,-0.06352343968816199,0.06837260547567704,0.06352343968816199,0.0027039060518465013,3.040774602173013e-05,sparse_encoding
N1_M,-0.04027135253015207,0.036172367524392804,0.04027135253015207,0.0011478921985768227,4.4126065687727593e-05,sparse_encoding
N1_N,-0.02882244610568623,0.04526030385490831,0.02882244610568623,0.001782244836385443,1.4666839527850558e-05,sparse_encoding
N1_P,-0.22066547872116282,0.044868056405235425,0.22066547872116282,0.004742424445209248,0.00026736465419993573,sparse_encoding
N1_Q,-0.09615336504975083,0.05544804958201105,0.09615336504975083,0.0022430011668187616,5.461067477636561e-05,sparse_encoding
N1_R,-0.025231668451574797,0.05528570441609906,0.025231668451574797,0.0023352639872574904,2.7144203649472285e-05,sparse_encoding
N1_S,-0.006794508718925919,0.0645410300325607,0.006794508718925919,0.002829634769367072,3.5255206035431806e-05,sparse_encoding
N1_T,-0.05118774087279625,0.052410699775919105,0.05118774087279625,0.0019157823680446963,7.943970246213752e-06,sparse_encoding
N1_V,-0.09789357716271299,0.05083789929060009,0.09789357716271299,0.002046136862795659,1.754253013561569e-05,sparse_encoding
N1_W,-0.048793881854321965,0.024199467259409326,0.048793881854321965,0.0005454721011098205,9.639678120273522e-06,sparse_encoding
N1_Y,-0.039729276286984735,0.030328754140341363,0.039729276286984735,0.0012491249889882243,2.4236187390642005e-05,sparse_encoding
P1_A,0.014171873037522648,0.001056397360545737,0.014171873037522648,0.0030436812163335313,1.4031711536713357e-05,sparse_encoding
P1_C,-0.048383150053030996,0.003543806612673883,0.048383150053030996,4.7424687260578036e-05,9.884792763487001e-06,sparse_encoding
