component_idx,explained_variance_ratio,cumulative_variance
435,0.00007630,0.97479600
436,0.00007617,0.97487217
437,0.00007596,0.97494811
438,0.00007576,0.97502387
439,0.00007555,0.97509938
440,0.00007548,0.97517484
441,0.00007517,0.97525001
442,0.00007483,0.97532481
443,0.00007470,0.97539949
444,0.00007447,0.97547394
445,0.00007426,0.97554821
446,0.00007417,0.97562236
447,0.00007400,0.97569638
448,0.00007384,0.97577024
449,0.00007365,0.97584391
450,0.00007325,0.97591716
451,0.00007305,0.97599024
452,0.00007278,0.97606301
453,0.00007245,0.97613543
454,0.00007242,0.97620785
455,0.00007231,0.97628015
456,0.00007215,0.97635227
457,0.00007172,0.97642398
458,0.00007154,0.97649550
459,0.00007127,0.97656679
460,0.00007120,0.97663802
461,0.00007100,0.97670901
462,0.00007070,0.97677970
463,0.00007059,0.97685027
464,0.00007048,0.97692072
465,0.00007034,0.97699106
466,0.00007000,0.97706103
467,0.00006976,0.97713077
468,0.00006968,0.97720045
469,0.00006935,0.97726983
470,0.00006934,0.97733915
471,0.00006906,0.97740823
472,0.00006897,0.97747719
473,0.00006879,0.97754598
474,0.00006858,0.97761458
475,0.00006819,0.97768277
476,0.00006795,0.97775072
477,0.00006783,0.97781855
478,0.00006775,0.97788632
479,0.00006748,0.97795379
480,0.00006738,0.97802114
481,0.00006724,0.97808838
482,0.00006716,0.97815555
483,0.00006695,0.97822249
484,0.00006685,0.97828937
485,0.00006664,0.97835600
486,0.00006645,0.97842246
487,0.00006618,0.97848862
488,0.00006611,0.97855473
489,0.00006588,0.97862059
490,0.00006571,0.97868627
491,0.00006557,0.97875184
492,0.00006542,0.97881728
493,0.00006521,0.97888249
494,0.00006493,0.97894740
495,0.00006455,0.97901195
496,0.00006442,0.97907639
497,0.00006428,0.97914064
498,0.00006394,0.97920460
499,0.00006386,0.97926843
500,0.00006375,0.97933221
501,0.00006358,0.97939581
502,0.00006340,0.97945923
503,0.00006326,0.97952247
504,0.00006315,0.97958565
505,0.00006314,0.97964877
506,0.00006282,0.97971159
507,0.00006259,0.97977418
508,0.00006247,0.97983664
509,0.00006244,0.97989911
510,0.00006225,0.97996134
511,0.00006198,0.98002332
512,0.00006186,0.98008519
513,0.00006161,0.98014683
514,0.00006139,0.98020822
515,0.00006132,0.98026955
516,0.00006110,0.98033065
517,0.00006098,0.98039162
518,0.00006087,0.98045248
519,0.00006058,0.98051304
520,0.00006045,0.98057348
521,0.00006038,0.98063385
522,0.00006019,0.98069406
523,0.00005995,0.98075402
524,0.00005993,0.98081392
525,0.00005977,0.98087370
526,0.00005966,0.98093337
527,0.00005953,0.98099291
528,0.00005940,0.98105234
529,0.00005929,0.98111165
530,0.00005899,0.98117065
531,0.00005873,0.98122936
532,0.00005850,0.98128790
533,0.00005838,0.98134625
534,0.00005831,0.98140454
535,0.00005813,0.98146266
536,0.00005806,0.98152071
537,0.00005792,0.98157865
538,0.00005773,0.98163640
539,0.00005744,0.98169386
540,0.00005741,0.98175126
541,0.00005731,0.98180854
542,0.00005728,0.98186582
543,0.00005713,0.98192292
544,0.00005694,0.98197985
545,0.00005689,0.98203671
546,0.00005665,0.98209333
547,0.00005637,0.98214972
548,0.00005625,0.98220599
549,0.00005617,0.98226213
550,0.00005595,0.98231810
551,0.00005592,0.98237401
552,0.00005565,0.98242968
553,0.00005560,0.98248529
554,0.00005550,0.98254079
555,0.00005528,0.98259604
556,0.00005508,0.98265111
557,0.00005487,0.98270601
558,0.00005476,0.98276079
559,0.00005471,0.98281550
560,0.00005458,0.98287010
561,0.00005445,0.98292452
562,0.00005436,0.98297888
563,0.00005425,0.98303312
564,0.00005403,0.98308718
565,0.00005384,0.98314101
566,0.00005382,0.98319483
567,0.00005378,0.98324859
568,0.00005362,0.98330224
569,0.00005347,0.98335570
570,0.00005330,0.98340899
571,0.00005305,0.98346204
572,0.00005296,0.98351502
573,0.00005289,0.98356789
574,0.00005278,0.98362064
575,0.00005265,0.98367327
576,0.00005245,0.98372573
577,0.00005242,0.98377818
578,0.00005216,0.98383033
579,0.00005215,0.98388249
