component_idx,explained_variance_ratio,cumulative_variance
434,0.00013476,0.99208415
435,0.00013396,0.99221808
436,0.00013284,0.99235094
437,0.00013230,0.99248326
438,0.00013141,0.99261469
439,0.00013111,0.99274582
440,0.00013023,0.99287605
441,0.00013021,0.99300629
442,0.00012868,0.99313498
443,0.00012793,0.99326289
444,0.00012769,0.99339056
445,0.00012659,0.99351716
446,0.00012530,0.99364245
447,0.00012486,0.99376732
448,0.00012413,0.99389148
449,0.00012376,0.99401522
450,0.00012244,0.99413764
451,0.00012216,0.99425977
452,0.00012135,0.99438113
453,0.00012074,0.99450189
454,0.00011999,0.99462187
455,0.00011968,0.99474156
456,0.00011814,0.99485970
457,0.00011752,0.99497724
458,0.00011714,0.99509436
459,0.00011620,0.99521053
460,0.00011523,0.99532574
461,0.00011464,0.99544036
462,0.00011424,0.99555463
463,0.00011385,0.99566847
464,0.00011316,0.99578166
465,0.00011267,0.99589431
466,0.00011162,0.99600595
467,0.00011093,0.99611688
468,0.00011071,0.99622756
469,0.00010941,0.99633700
470,0.00010929,0.99644631
471,0.00010832,0.99655461
472,0.00010762,0.99666226
473,0.00010723,0.99676949
474,0.00010629,0.99687576
475,0.00010563,0.99698138
476,0.00010511,0.99708652
477,0.00010385,0.99719036
478,0.00010300,0.99729335
479,0.00010289,0.99739623
480,0.00010145,0.99749768
481,0.00010059,0.99759829
482,0.00010045,0.99769872
483,0.00009916,0.99779791
484,0.00009831,0.99789619
485,0.00009766,0.99799383
486,0.00009694,0.99809074
487,0.00009509,0.99818581
488,0.00009470,0.99828053
489,0.00009372,0.99837422
490,0.00009342,0.99846762
491,0.00009282,0.99856043
492,0.00009180,0.99865222
493,0.00009068,0.99874288
494,0.00009020,0.99883306
495,0.00008861,0.99892169
496,0.00008810,0.99900979
497,0.00008628,0.99909610
498,0.00008562,0.99918169
499,0.00008489,0.99926656
500,0.00008245,0.99934900
501,0.00008190,0.99943089
502,0.00007891,0.99950981
503,0.00007671,0.99958652
504,0.00007406,0.99966061
505,0.00007320,0.99973381
506,0.00006979,0.99980360
507,0.00006580,0.99986941
508,0.00005521,0.99992460
509,0.00003686,0.99996144
510,0.00002362,0.99998504
511,0.00001462,0.99999964
512,0.00000000,0.99999964
